qs1,qs2,qs2a,qs3y_1,qs4_1,qs6_1,rateqs3y,rateqs4,rateqs6,p1,p5,p7a,p7b,p7c,p7d,p7e,p7f,p7g,p7count,p8,p9,p10,p11,p14,p15,p16,p1801,p20,p22a,p22b,p22c,p22d,p22e,p22f,p22g,p23,p24,c1,c2a,c2b,c2c,c2d,c2e,c2f,c2g,c3,c8,C3C8,c4,c1_t,c11,c15,c16,c17a,c17b,c17c,c17d,c17e,c17f,c17g,c17h,c17i,c17j,c17k,c17l,c17m,c17n,c17o,c17p,c17q,c20,c23a,c23b,c23c,c23d,c23e,dmscore,C26A_H,C26_A,C26C_H,C26_C,C26D_H,C26_D,C26E_H,C26_E,C26F_H,C26G_H,C26_G,C26TOT1,C26TOT2
1,1,1,13,1,6,13,1,6,1,1,1,2,1,2,2,1,1,4,1,1,5,2,1,800,730,7,8,2,2,2,2,2,2,2,3,3,24,1,5,4,1,1,5,1,7,7,1,13,2100,0,4,4,2,1,5,1,1,1,5,2,1,1,2,5,1,1,2,5,1,1,2,3,1,3,1,22.5,2,120,1.5,90,0,0,0,0,3,2,120,9.5,570
1,1,1,12,1,7,12,1,7,1,1,2,2,2,2,1,2,2,1,1,1,5,5,1,900,700,7,2,2,2,2,2,2,2,2,1,3,21,5,5,1,4,5,4,5,99,2,99,13,2015,1,5,5,4,1,99,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,10,0.33,20,1,60,2,120,0,0,0.17,1,60,6.5,390
1,1,2,11,2,6,11,2,6,2,1,1,1,2,2,1,2,1,4,1,1,5,5,1,830,730,2,1,2,2,2,2,2,2,2,1,5,26,5,4,4,4,5,1,3,2,2,1,13,2130,0,4,5,3,2,2,2,1,2,3,1,1,2,2,1,1,1,2,1,3,3,1,1,1,2,2,12.5,1,60,0.25,15,0.25,15,0.17,10,0.5,2,120,4.67,280
1,2,1,13,2,8,13,2,8,2,1,1,2,2,2,2,1,1,3,1,2,5,5,1,830,700,6,2,2,2,2,2,2,2,2,1,3,29,5,5,3,4,4,1,5,3,8,8,11,2215,3,2,4,5,4,2,2,1,3,1,4,1,1,2,1,1,2,2,3,2,1,2,1,2,2,2,17.5,0.5,30,0.5,30,2,120,1,60,0.5,2,120,8.5,510
1,1,1,17,2,11,17,2,11,1,1,1,2,2,1,2,2,2,2,2,1,3,3,1,820,805,1,6,2,1,1,2,2,1,2,1,2,28,1,5,2,1,3,1,1,4,3,3,15,2200,14,2,3,4,2,2,2,2,3,4,3,4,2,4,4,3,2,4,3,3,2,2,2,3,3,3,25,2,120,0,0,0,0,1,60,0,1.5,90,8.5,510
1,1,1,13,2,8,13,2,8,1,1,1,2,1,2,2,2,1,3,1,2,5,3,1,800,730,7,1,2,2,2,2,2,1,2,1,2,24,5,1,5,1,1,1,4,3,2,3,13,2100,0,3,5,4,3,4,1,1,1,1,4,2,2,1,1,2,4,3,2,1,1,2,1,1,2,1,15,3,180,2,120,1,60,4,240,0.17,3,180,13.67,820
1,1,2,10,1,98,16,2,11,1,1,1,2,1,2,2,1,1,4,2,2,5,2,1,700,645,7,2,2,2,2,2,2,2,1,1,3,26,4,2,5,1,4,1,1,3,3,1,10,2130,8,4,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,10,0.75,45,0,0,0,0,99,99,99,0,0,0.75,45
1,1,2,14,1,8,14,1,8,1,1,2,2,2,2,2,2,1,1,1,1,4,3,2,800,745,3,4,2,2,2,2,2,2,2,1,6,28,5,4,1,4,3,4,1,2,2,1,15,2200,0,5,5,3,3,3,1,1,1,4,4,1,1,3,3,1,3,4,3,4,3,2,1,1,2,2,15,2.5,150,3,180,2,120,2,120,0,2,120,13.5,810
1,1,2,12,1,6,12,1,6,1,1,1,2,2,2,2,1,2,2,1,1,5,4,1,845,815,3,4,2,2,2,2,2,2,2,1,5,24,5,5,1,3,3,3,5,6,6,1,11,2100,4,5,5,4,4,3,3,3,4,5,3,1,1,3,3,5,3,5,3,3,3,1,1,1,1,2,10,1,60,0,0,0,0,0,0,0.58,1,60,3.58,215
1,2,2,12,1,7,12,1,7,2,1,1,2,2,2,2,1,1,3,1,1,5,3,2,800,740,3,2,2,1,2,2,2,1,2,4,5,26,4,4,1,2,1,1,5,5,4,3,13,2130,0,5,4,4,1,5,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,1,1,2,2,1,15,4,240,0.5,30,99,99,0,0,1,3,180,8.5,510
1,1,1,15,1,10,15,1,10,2,1,2,2,2,2,2,2,1,1,1,1,4,3,1,800,745,7,4,2,2,2,2,2,2,1,1,5,28,3,2,4,1,4,2,1,7,5,3,11,2200,1,4,2,4,4,2,3,4,1,4,1,4,3,3,2,5,4,4,1,4,1,1,1,2,1,1,12.5,0.5,30,0.5,30,0,0,0.25,15,0.5,1,60,4.75,285
1,2,2,11,1,6,12,2,7,1,1,1,2,2,2,2,1,1,3,1,1,5,4,1,800,700,4,1,2,2,2,2,2,2,2,1,3,24,3,5,4,3,2,1,2,4,2,3,11,2100,0,3,5,5,3,2,3,1,1,1,1,1,1,1,4,1,1,1,1,4,2,1,1,2,2,1,15,1,60,0,0,0.5,30,1.5,90,0.17,0.5,30,5.67,340
1,1,1,13,2,8,13,2,8,2,1,1,2,2,1,2,2,1,3,1,1,5,5,1,730,655,6,2,2,2,2,2,2,2,2,1,3,28,1,5,1,2,3,1,5,8,1,8,11,2200,14,5,5,3,2,1,1,1,1,99,1,1,1,1,1,1,1,3,2,3,1,2,1,2,2,1,17.5,0,0,0,0,0,0,0,0,0,0,0,4,240
1,1,1,16,1,10,16,1,10,1,1,1,2,1,2,2,2,1,3,2,2,5,2,1,830,745,3,4,2,1,2,2,2,1,2,4,3,28,1,5,5,3,1,1,1,1,1,1,15,2200,2,1,5,1,4,5,1,1,1,1,1,4,1,3,3,1,3,4,1,4,1,2,1,1,1,2,12.5,2,120,0,0,0,0,3,180,0,0,0,7,420
1,2,4,13,1,7,13,1,7,2,1,2,2,2,2,2,2,2,0,1,1,5,3,3,830,805,3,4,2,2,2,2,2,2,2,1,1,26,2,1,3,5,1,1,1,3,3,1,13,2130,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,99,99,0,0,0,0,99,0,0,0,0
1,1,1,16,1,10,16,1,10,1,1,1,1,1,2,2,1,1,5,2,1,5,3,1,700,630,4,2,2,2,2,2,2,2,2,1,5,28,3,2,4,1,1,1,5,6,7,2,9,2200,0,1,5,5,4,2,2,2,2,1,3,1,1,5,1,2,2,4,1,2,5,2,2,3,1,2,20,1.5,90,0,0,0,0,0,0,0,8,480,10,600
